,algorithm,dataset,K,bah_dist,u1,sgma1,u2,sgma2,fit_time,score_time,acc,balacc,auc
1,KLN-Min,KentRidge_selected,3,---,,,,,0.6272764205932617,0.019036673730419527,0.8388888888888889,0.7946428571428571,0.9352433281004711
2,KLN-Max,KentRidge_selected,3,---,,,,,0.5674542586008707,0.017166814496440273,0.8388888888888889,0.8145604395604394,0.9118262689691261
3,KLN-Avg,KentRidge_selected,3,---,,,,,0.6069559256235758,0.018085598945617676,0.7420634920634921,0.6836080586080587,0.8605442176870749
4,KDN,KentRidge_selected,3,---,,,,,0.23818500836690268,0.04769630201401249,0.5,0.46588827838827834,0.5020277341705913
5,kNN,KentRidge_selected,3,---,,,,,0.0,0.017714834982349027,0.8396825396825397,0.81753663003663,0.8784667713239142
6,EKNN,KentRidge_selected,3,---,,,,,0.9983818531036377,0.03466135199351977,0.8396825396825397,0.7976190476190476,0.8827838827838828
7,KLN-Min,KentRidge_selected,5,---,,,,,0.6629236539204916,0.01921387641660629,0.8222222222222223,0.7708333333333334,0.9286368393511251
8,KLN-Max,KentRidge_selected,5,---,,,,,0.6392717361450195,0.0188915652613486,0.8388888888888889,0.8145604395604394,0.8803636839351126
9,KLN-Avg,KentRidge_selected,5,---,,,,,0.711893637975057,0.018826976899177797,0.6936507936507935,0.6002747252747253,0.8765698587127159
10,KDN,KentRidge_selected,5,---,,,,,0.28682247797648114,0.16046516356929655,0.5984126984126984,0.5638736263736264,0.6533228676085819
11,kNN,KentRidge_selected,5,---,,,,,0.0,0.020648483307130875,0.8547619047619047,0.8463827838827839,0.8682626896912611
12,EKNN,KentRidge_selected,5,---,,,,,1.3231809933980305,0.04839475693241243,0.8396825396825397,0.8056318681318682,0.9090790162218734
13,KLN-Min,KentRidge_selected,7,---,,,,,0.6669202645619711,0.020116579148077195,0.8555555555555555,0.8184523809523809,0.9218341182626896
14,KLN-Max,KentRidge_selected,7,---,,,,,0.6619216601053873,0.019262263851781047,0.8547619047619047,0.8353937728937728,0.8714678178963894
15,KLN-Avg,KentRidge_selected,7,---,,,,,0.666920026143392,0.019504077972904328,0.6460317460317461,0.5228937728937729,0.8302590266875981
16,KDN,KentRidge_selected,7,---,,,,,0.2698328495025635,0.34225582691930956,0.7269841269841271,0.7126831501831502,0.7641287284144428
17,kNN,KentRidge_selected,7,---,,,,,0.0003329912821451823,0.018939802723546183,0.8547619047619047,0.8463827838827839,0.8853676085818943
18,EKNN,KentRidge_selected,7,---,,,,,1.5553700129191081,0.06242911533642841,0.8388888888888889,0.82257326007326,0.9118262689691261
19,KLN-Min,KentRidge_selected,9,---,,,,,0.6845751603444418,0.019326729159201344,0.8396825396825397,0.7976190476190476,0.918825222396651
20,KLN-Max,KentRidge_selected,9,---,,,,,0.676581859588623,0.018972066140943957,0.8230158730158731,0.7907509157509157,0.8889979068550496
21,KLN-Avg,KentRidge_selected,9,---,,,,,0.6855758825937907,0.019536268326543992,0.6126984126984127,0.4752747252747253,0.8027864992150707
22,KDN,KentRidge_selected,9,---,,,,,0.30414525667826336,0.751470192786186,0.7904761904761904,0.7701465201465201,0.841640502354788
23,kNN,KentRidge_selected,9,---,,,,,0.0,0.019278314805799914,0.8547619047619047,0.8463827838827839,0.8985805860805861
24,EKNN,KentRidge_selected,9,---,,,,,2.0322972933451333,0.0822662550915954,0.8063492063492065,0.7809065934065934,0.925039246467818
